#,full_name,key,title,booktitle,journal,pages,year
108,Krzysztof Diks,journals/jpdc/DiksLP99,An Optimal Algorithm for Broadcasting Multiple Messages in Trees.,,J. Parallel Distrib. Comput.,"[465,474]",1999
109,Andrzej Lingas,journals/jpdc/DiksLP99,An Optimal Algorithm for Broadcasting Multiple Messages in Trees.,,J. Parallel Distrib. Comput.,"[465,474]",1999
110,Andrzej Pelc,journals/jpdc/DiksLP99,An Optimal Algorithm for Broadcasting Multiple Messages in Trees.,,J. Parallel Distrib. Comput.,"[465,474]",1999
111,Krzysztof Diks,journals/join/DiksDP06,Exploring Planar Graphs Using Unoriented Maps.,,Journal of Interconnection Networks,"[353,373]",2006
112,Stefan Dobrev,journals/join/DiksDP06,Exploring Planar Graphs Using Unoriented Maps.,,Journal of Interconnection Networks,"[353,373]",2006
113,Andrzej Pelc,journals/join/DiksDP06,Exploring Planar Graphs Using Unoriented Maps.,,Journal of Interconnection Networks,"[353,373]",2006
114,Torben Hagerup,journals/siamcomp/HagerupCD89,Optimal Parallel 5-Colouring of Planar Graphs.,,SIAM J. Comput.,"[288,300]",1989
115,Marek Chrobak,journals/siamcomp/HagerupCD89,Optimal Parallel 5-Colouring of Planar Graphs.,,SIAM J. Comput.,"[288,300]",1989
116,Krzysztof Diks,journals/siamcomp/HagerupCD89,Optimal Parallel 5-Colouring of Planar Graphs.,,SIAM J. Comput.,"[288,300]",1989
117,Bogdan S. Chlebus,journals/cpc/ChlebusDP96,Reliable Broadcasting in Hypercubes with Random Link and Node Failures.,,"Combinatorics, Probability &amp; Computing","[337,350]",1996
118,Krzysztof Diks,journals/cpc/ChlebusDP96,Reliable Broadcasting in Hypercubes with Random Link and Node Failures.,,"Combinatorics, Probability &amp; Computing","[337,350]",1996
119,Andrzej Pelc,journals/cpc/ChlebusDP96,Reliable Broadcasting in Hypercubes with Random Link and Node Failures.,,"Combinatorics, Probability &amp; Computing","[337,350]",1996
120,Krzysztof Diks,journals/ita/DiksMP95,Token Transfer in a Faulty Network.,,ITA,"[383,400]",1995
121,Adam Malinowski,journals/ita/DiksMP95,Token Transfer in a Faulty Network.,,ITA,"[383,400]",1995
122,Andrzej Pelc,journals/ita/DiksMP95,Token Transfer in a Faulty Network.,,ITA,"[383,400]",1995
123,Krzysztof Diks,journals/ita/DiksP93,Fast Diagnosis of Multiprocessor Systems with Random Faults.,,ITA,"[391,401]",1993
124,Andrzej Pelc,journals/ita/DiksP93,Fast Diagnosis of Multiprocessor Systems with Random Faults.,,ITA,"[391,401]",1993
125,Krzysztof Diks,journals/ppl/DiksKP98,Broadcasting in Unlabeled Tori.,,Parallel Processing Letters,"[177,188]",1998
126,Evangelos Kranakis,journals/ppl/DiksKP98,Broadcasting in Unlabeled Tori.,,Parallel Processing Letters,"[177,188]",1998
127,Andrzej Pelc,journals/ppl/DiksKP98,Broadcasting in Unlabeled Tori.,,Parallel Processing Letters,"[177,188]",1998
128,Krzysztof Diks,journals/ppl/DiksMP94,Reliable Token Despersal with Random Faults.,,Parallel Processing Letters,"[417,427]",1994
129,Adam Malinowski,journals/ppl/DiksMP94,Reliable Token Despersal with Random Faults.,,Parallel Processing Letters,"[417,427]",1994
130,Andrzej Pelc,journals/ppl/DiksMP94,Reliable Token Despersal with Random Faults.,,Parallel Processing Letters,"[417,427]",1994
131,Krzysztof Diks,journals/ipl/DiksKKMP94,Optimal Coteries and Voting Schemes.,,Inf. Process. Lett.,"[1,6]",1994
132,<author orcid=0000-0002-8959-4428>Evangelos Kranakis,journals/ipl/DiksKKMP94,Optimal Coteries and Voting Schemes.,,Inf. Process. Lett.,"[1,6]",1994
133,Danny Krizanc,journals/ipl/DiksKKMP94,Optimal Coteries and Voting Schemes.,,Inf. Process. Lett.,"[1,6]",1994
134,<author orcid=0000-0001-7897-2043>Bernard Mans,journals/ipl/DiksKKMP94,Optimal Coteries and Voting Schemes.,,Inf. Process. Lett.,"[1,6]",1994
135,Andrzej Pelc,journals/ipl/DiksKKMP94,Optimal Coteries and Voting Schemes.,,Inf. Process. Lett.,"[1,6]",1994
136,Krzysztof Diks,journals/ipl/DiksDKPR98,Broadcasting in Unlabeled Hypercubes with a Linear Number of Messages.,,Inf. Process. Lett.,"[181,186]",1998
137,Stefan Dobrev,journals/ipl/DiksDKPR98,Broadcasting in Unlabeled Hypercubes with a Linear Number of Messages.,,Inf. Process. Lett.,"[181,186]",1998
138,Evangelos Kranakis,journals/ipl/DiksDKPR98,Broadcasting in Unlabeled Hypercubes with a Linear Number of Messages.,,Inf. Process. Lett.,"[181,186]",1998
139,Andrzej Pelc,journals/ipl/DiksDKPR98,Broadcasting in Unlabeled Hypercubes with a Linear Number of Messages.,,Inf. Process. Lett.,"[181,186]",1998
140,Peter Ruzicka,journals/ipl/DiksDKPR98,Broadcasting in Unlabeled Hypercubes with a Linear Number of Messages.,,Inf. Process. Lett.,"[181,186]",1998
141,Artur Czumaj,journals/ipl/CzumajDP96,Parallel Maximum Independent Set in Convex Bipartite Graphs.,,Inf. Process. Lett.,"[289,294]",1996
142,Krzysztof Diks,journals/ipl/CzumajDP96,Parallel Maximum Independent Set in Convex Bipartite Graphs.,,Inf. Process. Lett.,"[289,294]",1996
143,Teresa M. Przytycka,journals/ipl/CzumajDP96,Parallel Maximum Independent Set in Convex Bipartite Graphs.,,Inf. Process. Lett.,"[289,294]",1996
144,Krzysztof Diks,journals/tcs/DiksR91,On Optimal Parallel Computations for Sequences of Brackets.,,Theor. Comput. Sci.,"[251,262]",1991
145,Wojciech Rytter,journals/tcs/DiksR91,On Optimal Parallel Computations for Sequences of Brackets.,,Theor. Comput. Sci.,"[251,262]",1991
146,Krzysztof Diks,journals/tcs/DiksKMP95,Anonymous Wireless Rings.,,Theor. Comput. Sci.,"[95,109]",1995
147,<author orcid=0000-0002-8959-4428>Evangelos Kranakis,journals/tcs/DiksKMP95,Anonymous Wireless Rings.,,Theor. Comput. Sci.,"[95,109]",1995
148,Adam Malinowski,journals/tcs/DiksKMP95,Anonymous Wireless Rings.,,Theor. Comput. Sci.,"[95,109]",1995
149,Andrzej Pelc,journals/tcs/DiksKMP95,Anonymous Wireless Rings.,,Theor. Comput. Sci.,"[95,109]",1995
150,Krzysztof Diks,journals/tcs/DiksH98,More General Parallel Tree Contraction: Register Allocation and Broadcasting in a Tree.,,Theor. Comput. Sci.,"[3,29]",1998
151,Torben Hagerup,journals/tcs/DiksH98,More General Parallel Tree Contraction: Register Allocation and Broadcasting in a Tree.,,Theor. Comput. Sci.,"[3,29]",1998
152,Krzysztof Diks,journals/tcs/Diks85,Embeddings of Binary Trees in Lines.,,Theor. Comput. Sci.,"[319,331]",1985
153,Krzysztof Diks,journals/tcs/DiksP98,System Diagnosis with Smallest Risk of Error.,,Theor. Comput. Sci.,"[163,173]",1998
154,Andrzej Pelc,journals/tcs/DiksP98,System Diagnosis with Smallest Risk of Error.,,Theor. Comput. Sci.,"[163,173]",1998
155,Krzysztof Diks,journals/tcs/DiksKKP02,The impact of information on broadcasting time in linear radio networks.,,Theor. Comput. Sci.,"[449,471]",2002
156,<author orcid=0000-0002-8959-4428>Evangelos Kranakis,journals/tcs/DiksKKP02,The impact of information on broadcasting time in linear radio networks.,,Theor. Comput. Sci.,"[449,471]",2002
157,Danny Krizanc,journals/tcs/DiksKKP02,The impact of information on broadcasting time in linear radio networks.,,Theor. Comput. Sci.,"[449,471]",2002
158,Andrzej Pelc,journals/tcs/DiksKKP02,The impact of information on broadcasting time in linear radio networks.,,Theor. Comput. Sci.,"[449,471]",2002
159,Krzysztof Diks,journals/tcs/DiksP96,Reliable Computations on Faulty EREW PRAM.,,Theor. Comput. Sci.,"[107,122]",1996
160,Andrzej Pelc,journals/tcs/DiksP96,Reliable Computations on Faulty EREW PRAM.,,Theor. Comput. Sci.,"[107,122]",1996
161,P. C. P. Bhatt,journals/iandc/BhattDHPRS91,Improved Deterministic Parallel Integer Sorting,,Inf. Comput.,"[29,47]",1991
162,Krzysztof Diks,journals/iandc/BhattDHPRS91,Improved Deterministic Parallel Integer Sorting,,Inf. Comput.,"[29,47]",1991
163,Torben Hagerup,journals/iandc/BhattDHPRS91,Improved Deterministic Parallel Integer Sorting,,Inf. Comput.,"[29,47]",1991
164,V. C. Prasad,journals/iandc/BhattDHPRS91,Improved Deterministic Parallel Integer Sorting,,Inf. Comput.,"[29,47]",1991
165,Tomasz Radzik,journals/iandc/BhattDHPRS91,Improved Deterministic Parallel Integer Sorting,,Inf. Comput.,"[29,47]",1991
166,Sanjeev Saxena,journals/iandc/BhattDHPRS91,Improved Deterministic Parallel Integer Sorting,,Inf. Comput.,"[29,47]",1991
167,Krzysztof Diks,journals/networks/DiksP96,Broadcasting with universal lists.,,Networks,"[183,196]",1996
168,Andrzej Pelc,journals/networks/DiksP96,Broadcasting with universal lists.,,Networks,"[183,196]",1996
169,Bogdan S. Chlebus,journals/algorithmica/ChlebusDK95,O(log log n)-Time Integer Geometry on the CRCW PRAM.,,Algorithmica,"[52,69]",1995
170,Krzysztof Diks,journals/algorithmica/ChlebusDK95,O(log log n)-Time Integer Geometry on the CRCW PRAM.,,Algorithmica,"[52,69]",1995
171,Miroslaw Kowaluk,journals/algorithmica/ChlebusDK95,O(log log n)-Time Integer Geometry on the CRCW PRAM.,,Algorithmica,"[52,69]",1995
172,Krzysztof Diks,journals/algorithmica/DiksP00,Optimal Adaptive Broadcasting with a Bounded Fraction of Faulty Nodes.,,Algorithmica,"[37,50]",2000
173,Andrzej Pelc,journals/algorithmica/DiksP00,Optimal Adaptive Broadcasting with a Bounded Fraction of Faulty Nodes.,,Algorithmica,"[37,50]",2000
174,Krzysztof Diks,journals/njc/DiksP96,Fault-Tolerant Linear Broadcasting.,,Nord. J. Comput.,"[188,201]",1996
175,Andrzej Pelc,journals/njc/DiksP96,Fault-Tolerant Linear Broadcasting.,,Nord. J. Comput.,"[188,201]",1996
176,Bogdan S. Chlebus,journals/njc/ChlebusDP94,Sparse Networks Supporting Efficient Reliable Broadcasting.,,Nord. J. Comput.,"[332,345]",1994
177,Krzysztof Diks,journals/njc/ChlebusDP94,Sparse Networks Supporting Efficient Reliable Broadcasting.,,Nord. J. Comput.,"[332,345]",1994
178,Andrzej Pelc,journals/njc/ChlebusDP94,Sparse Networks Supporting Efficient Reliable Broadcasting.,,Nord. J. Comput.,"[332,345]",1994
179,Krzysztof Diks,journals/tc/DiksP97,Globally Optimal Diagnosis in Systems with Random Faults.,,IEEE Trans. Computers,"[200,204]",1997
180,Andrzej Pelc,journals/tc/DiksP97,Globally Optimal Diagnosis in Systems with Random Faults.,,IEEE Trans. Computers,"[200,204]",1997
181,Jerzy Czyzowicz,journals/corr/CzyzowiczDMR15,Algorithms for Communication Problems for Mobile Agents Exchanging Energy.,,CoRR,,2015
182,Krzysztof Diks,journals/corr/CzyzowiczDMR15,Algorithms for Communication Problems for Mobile Agents Exchanging Energy.,,CoRR,,2015
183,Jean Moussi,journals/corr/CzyzowiczDMR15,Algorithms for Communication Problems for Mobile Agents Exchanging Energy.,,CoRR,,2015
184,Wojciech Rytter,journals/corr/CzyzowiczDMR15,Algorithms for Communication Problems for Mobile Agents Exchanging Energy.,,CoRR,,2015
185,Piotr Denejko,journals/fuin/DenejkoDPP00,Reliable Minimum Finding Comparator Networks.,,Fundam. Inform.,"[235,249]",2000
186,Krzysztof Diks,journals/fuin/DenejkoDPP00,Reliable Minimum Finding Comparator Networks.,,Fundam. Inform.,"[235,249]",2000
187,Andrzej Pelc,journals/fuin/DenejkoDPP00,Reliable Minimum Finding Comparator Networks.,,Fundam. Inform.,"[235,249]",2000
188,Marek Piotrów,journals/fuin/DenejkoDPP00,Reliable Minimum Finding Comparator Networks.,,Fundam. Inform.,"[235,249]",2000
189,Bogdan S. Chlebus,journals/fuin/ChlebusDP97,Transition-Optimal Token Distribution.,,Fundam. Inform.,"[313,328]",1997
190,Krzysztof Diks,journals/fuin/ChlebusDP97,Transition-Optimal Token Distribution.,,Fundam. Inform.,"[313,328]",1997
191,Andrzej Pelc,journals/fuin/ChlebusDP97,Transition-Optimal Token Distribution.,,Fundam. Inform.,"[313,328]",1997
192,Krzysztof Diks,journals/siamdm/DiksP92,Almost Safe Gossiping in Bounded Degree Networks.,,SIAM J. Discrete Math.,"[338,344]",1992
193,Andrzej Pelc,journals/siamdm/DiksP92,Almost Safe Gossiping in Bounded Degree Networks.,,SIAM J. Discrete Math.,"[338,344]",1992
194,Krzysztof Diks,journals/siamdm/DiksP96,Efficient Gossiping by Packets in Networks with Random Faults.,,SIAM J. Discrete Math.,"[7,18]",1996
195,Andrzej Pelc,journals/siamdm/DiksP96,Efficient Gossiping by Packets in Networks with Random Faults.,,SIAM J. Discrete Math.,"[7,18]",1996
196,Bogdan S. Chlebus,journals/siamdm/ChlebusDP94,Sorting on a Mesh-Connected Computer with Delaying Links.,,SIAM J. Discrete Math.,"[119,132]",1994
197,Krzysztof Diks,journals/siamdm/ChlebusDP94,Sorting on a Mesh-Connected Computer with Delaying Links.,,SIAM J. Discrete Math.,"[119,132]",1994
198,Andrzej Pelc,journals/siamdm/ChlebusDP94,Sorting on a Mesh-Connected Computer with Delaying Links.,,SIAM J. Discrete Math.,"[119,132]",1994
199,Krzysztof Diks,journals/dam/DiksKP98,Perfect Broadcasting in Unlabeled Networks.,,Discrete Applied Mathematics,"[33,47]",1998
200,<author orcid=0000-0002-8959-4428>Evangelos Kranakis,journals/dam/DiksKP98,Perfect Broadcasting in Unlabeled Networks.,,Discrete Applied Mathematics,"[33,47]",1998
201,Andrzej Pelc,journals/dam/DiksKP98,Perfect Broadcasting in Unlabeled Networks.,,Discrete Applied Mathematics,"[33,47]",1998
202,Bogdan S. Chlebus,journals/dam/ChlebusDP94,Fast gossiping with short unreliable messages.,,Discrete Applied Mathematics,"[15,24]",1994
203,Krzysztof Diks,journals/dam/ChlebusDP94,Fast gossiping with short unreliable messages.,,Discrete Applied Mathematics,"[15,24]",1994
204,Andrzej Pelc,journals/dam/ChlebusDP94,Fast gossiping with short unreliable messages.,,Discrete Applied Mathematics,"[15,24]",1994
205,Krzysztof Diks,journals/ijfcs/DiksGL93,Parallel Algorithms for Finding Maximal k-Dependent Sets and Maximal f-Matchings.,,Int. J. Found. Comput. Sci.,"[179,192]",1993
206,Oscar Garrido,journals/ijfcs/DiksGL93,Parallel Algorithms for Finding Maximal k-Dependent Sets and Maximal f-Matchings.,,Int. J. Found. Comput. Sci.,"[179,192]",1993
207,Andrzej Lingas,journals/ijfcs/DiksGL93,Parallel Algorithms for Finding Maximal k-Dependent Sets and Maximal f-Matchings.,,Int. J. Found. Comput. Sci.,"[179,192]",1993
